state,year,rgn_id,rgn_name,rgn_employment,tr_jobs_3yr,tr_jobs_prev_3yr,tr_job_growth
Massachusetts,2012,7,Massachusetts-Gulf of Maine,49779.5,48188.166666666664,46560.166666666664,0.06914350965238536
Massachusetts,2012,8,Massachusetts-Virginian,17334.5,16658.833333333332,16109.5,0.07604208696731751
Maine,2013,6,Maine,30166,29689.666666666668,28828.666666666668,0.04638901093818659
New Hampshire,2013,9,New Hampshire,7259,6745,6451.666666666667,0.12513562386980093
New York,2013,10,New York,300752,285042.6666666667,268418.3333333333,0.12045997851612222
Rhode Island,2013,11,Rhode Island,34089,32950.666666666664,32002.666666666668,0.06519248395967003
Connecticut,2013,5,Connecticut,36323,34181.333333333336,32333.666666666668,0.1233801713384397
Massachusetts,2013,7,Massachusetts-Gulf of Maine,50901.5,49857.333333333336,48188.166666666664,0.0563070463357187
Massachusetts,2013,8,Massachusetts-Virginian,16452.5,16753,16658.833333333332,-0.012385821336027836
Maine,2014,6,Maine,30437,30129.333333333332,29689.666666666668,0.02517149625571191
New Hampshire,2014,9,New Hampshire,7134,7107.666666666667,6745,0.05767234988880654
New York,2014,10,New York,319388,301888.3333333333,285042.6666666667,0.12049190296657342
Rhode Island,2014,11,Rhode Island,34757,33937.666666666664,32950.666666666664,0.05481932586088312
Connecticut,2014,5,Connecticut,37348,35900.666666666664,34181.333333333336,0.09264315805897949
Massachusetts,2014,7,Massachusetts-Gulf of Maine,52220,50967,49857.333333333336,0.0473885486588399
Massachusetts,2014,8,Massachusetts-Virginian,17520,17102.333333333332,16753,0.04578284486360662
Maine,2015,6,Maine,30865,30489.333333333332,30129.333333333332,0.024416958003274702
New Hampshire,2015,9,New Hampshire,7404,7265.666666666667,7107.666666666667,0.041692069596210635
New York,2015,10,New York,333745,317961.6666666667,301888.3333333333,0.10552466971783181
Rhode Island,2015,11,Rhode Island,35050,34632,33937.666666666664,0.03277577519570207
Connecticut,2015,5,Connecticut,37584,37085,35900.666666666664,0.04688863716551239
Massachusetts,2015,7,Massachusetts-Gulf of Maine,55156,52759.166666666664,50967,0.08219043694939865
Massachusetts,2015,8,Massachusetts-Virginian,18326,17432.833333333332,17102.333333333332,0.07154969107529197
